1000
0  1  Logic.CreateMainPlayerCommand  
0  2  Logic.CreatePlayerCommand  
33  2  Logic.CreateBuildingCommand  
66  1  Logic.CreateBuildingCommand  
683
1003(121584, 0, -1299279)    (13411, 0, 64149)
1004(60550, 0, 1646609)    (12978, 0, -64244)
1005(39336, 0, -1692717)    (13411, 0, 64149)
1003(123372, 0, -1290726)    (13411, 0, 64149)
1004(62280, 0, 1638043)    (12978, 0, -64244)
1005(41124, 0, -1684164)    (13411, 0, 64149)
1003(125160, 0, -1282173)    (13411, 0, 64149)
1004(64010, 0, 1629477)    (12978, 0, -64244)
1005(42912, 0, -1675611)    (13411, 0, 64149)
1003(126948, 0, -1273620)    (13411, 0, 64149)
1004(65740, 0, 1620911)    (12978, 0, -64244)
1005(44700, 0, -1667058)    (13411, 0, 64149)
1003(128736, 0, -1265067)    (13411, 0, 64149)
1004(67470, 0, 1612345)    (12978, 0, -64244)
1005(46488, 0, -1658505)    (13411, 0, 64149)
1003(130524, 0, -1256514)    (13411, 0, 64149)
1004(69200, 0, 1603779)    (12978, 0, -64244)
1005(48276, 0, -1649952)    (13411, 0, 64149)
1003(132312, 0, -1247961)    (13411, 0, 64149)
1004(70930, 0, 1595213)    (12978, 0, -64244)
1005(50064, 0, -1641399)    (13411, 0, 64149)
1003(134100, 0, -1239408)    (13411, 0, 64149)
1004(72660, 0, 1586647)    (12978, 0, -64244)
1005(51852, 0, -1632846)    (13411, 0, 64149)
1003(135888, 0, -1230855)    (13411, 0, 64149)
1004(74390, 0, 1578081)    (12978, 0, -64244)
1005(53640, 0, -1624293)    (13411, 0, 64149)
1003(137676, 0, -1222302)    (13411, 0, 64149)
1004(76120, 0, 1569515)    (12978, 0, -64244)
1005(55428, 0, -1615740)    (13411, 0, 64149)
1003(139464, 0, -1213749)    (13411, 0, 64149)
1004(77850, 0, 1560949)    (12978, 0, -64244)
1005(57216, 0, -1607187)    (13411, 0, 64149)
1003(141252, 0, -1205196)    (13411, 0, 64149)
1004(79580, 0, 1552383)    (12978, 0, -64244)
1005(59004, 0, -1598634)    (13411, 0, 64149)
778
1006(0, 0, 1946419)    (12978, 0, -64244)
1003(143040, 0, -1196643)    (13411, 0, 64149)
1004(81310, 0, 1543817)    (12978, 0, -64244)
1005(60792, 0, -1590081)    (13411, 0, 64149)
1006(1730, 0, 1937853)    (12978, 0, -64244)
1003(144828, 0, -1188090)    (13411, 0, 64149)
1004(83040, 0, 1535251)    (12978, 0, -64244)
1005(62580, 0, -1581528)    (13411, 0, 64149)
1006(3460, 0, 1929287)    (12978, 0, -64244)
1003(146616, 0, -1179537)    (13411, 0, 64149)
1004(84770, 0, 1526685)    (12978, 0, -64244)
1005(64368, 0, -1572975)    (13411, 0, 64149)
1006(5190, 0, 1920721)    (12978, 0, -64244)
1003(148404, 0, -1170984)    (13411, 0, 64149)
1004(86500, 0, 1518119)    (12978, 0, -64244)
1005(66156, 0, -1564422)    (13411, 0, 64149)
1006(6920, 0, 1912155)    (12978, 0, -64244)
1003(150192, 0, -1162431)    (13411, 0, 64149)
1004(88230, 0, 1509553)    (12978, 0, -64244)
1005(67944, 0, -1555869)    (13411, 0, 64149)
1006(8650, 0, 1903589)    (12978, 0, -64244)
1003(151980, 0, -1153878)    (13411, 0, 64149)
1004(89960, 0, 1500987)    (12978, 0, -64244)
1005(69732, 0, -1547316)    (13411, 0, 64149)
1006(10380, 0, 1895023)    (12978, 0, -64244)
1003(153768, 0, -1145325)    (13411, 0, 64149)
1004(91690, 0, 1492421)    (12978, 0, -64244)
1005(71520, 0, -1538763)    (13411, 0, 64149)
1006(12110, 0, 1886457)    (12978, 0, -64244)
1003(155556, 0, -1136772)    (13411, 0, 64149)
1004(93420, 0, 1483855)    (12978, 0, -64244)
1005(73308, 0, -1530210)    (13411, 0, 64149)
1006(13840, 0, 1877891)    (12978, 0, -64244)
